segment_name	users	avg_recency_days	avg_frequency	avg_value_score	total_buy_events
CORE_VALUE	3580	1.0092	168.9989	207.1355	12884
ACTIVE_BUYER	2939	1.0361	42.3661	57.7523	6369
HIGH_INTENT_NON_BUYER	2541	1.0232	87.9658	100.8272	0
GENERAL_ACTIVE	597	1.0369	38.5812	38.5812	0
AT_RISK	2	6.5000	6.5000	17.5000	5
